"Source:","F:\Electronics\Hardware\SMD-Challenge\pcb\SMD-Challenge.kicad_sch"
"Date:","30/01/2023 22:36:10"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom-script.py"
"Unique Type Count:","16"
"Component Count:","26"

"Item","Qty","References","Value","Datasheet"
"1","1","BT1","Battery_Cell","~"
"2","1","C1","1u","~"
"3","2","D1, D2","LED","~"
"4","2","D3, D4","LED","~"
"5","2","D5, D6","LED","~"
"6","2","D7, D8","LED","~"
"7","2","D9, D10","LED","~"
"8","2","R1, R2","R","~"
"9","2","R3, R4","R","~"
"10","2","R5, R6","R","~"
"11","2","R7, R8","R","~"
"12","2","R9, R10","R","~"
"13","1","R11","10k","~"
"14","1","RV1","100k","~"
"15","1","U1","SN74LVC1G14DBV","http://www.ti.com/lit/ds/symlink/sn74lvc1g14.pdf"
"16","1","U2","4017","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4017bms-22bms.pdf"
